K,threshold,tau,fast_n,faith,diff,lost,gained,discordant,p_value,verdict
2,mean+2sd,0.1143,23,0.63,-0.012,8,3,11,0.2266,NOT significant
2,mean+1sd,0.0821,62,0.62,-0.022,20,11,31,0.1496,NOT significant
2,mean,0.0499,159,0.58,-0.062,49,24,73,0.0046,SIGNIFICANT drop
2,mean-1sd,0.0178,350,0.552,-0.09,102,66,168,0.0068,SIGNIFICANT drop
2,mean-2sd,-0.0144,400,0.542,-0.1,117,77,194,0.005,SIGNIFICANT drop
3,mean+2sd,0.1143,23,0.63,-0.012,10,5,15,0.3018,NOT significant
3,mean+1sd,0.0821,62,0.632,-0.01,17,13,30,0.5847,NOT significant
3,mean,0.0499,159,0.605,-0.037,45,30,75,0.1053,NOT significant
3,mean-1sd,0.0178,350,0.608,-0.035,88,74,162,0.3071,NOT significant
3,mean-2sd,-0.0144,400,0.583,-0.06,108,84,192,0.0967,NOT significant
