K,threshold,tau,fast_n,deep_n,mean_s,P50_s,P95_s,faithfulness
2,mean+2sd,0.1143,23,377,14.98,14.47,24.0,0.63
2,mean+1sd,0.0821,62,338,14.33,14.09,23.84,0.62
2,mean,0.0499,159,241,12.84,12.26,23.71,0.58
2,mean-1sd,0.0178,350,50,9.4,8.28,18.16,0.552
2,mean-2sd,-0.0144,400,0,8.52,7.82,15.29,0.542
3,mean+2sd,0.1143,23,377,14.98,14.48,23.84,0.63
3,mean+1sd,0.0821,62,338,14.51,14.09,23.71,0.632
3,mean,0.0499,159,241,13.33,12.62,22.74,0.605
3,mean-1sd,0.0178,350,50,9.57,9.16,18.24,0.608
3,mean-2sd,-0.0144,400,0,8.37,7.8,15.24,0.583
